              userid              | hunt_count | avg_duration_minutes 
----------------------------------+------------+----------------------
 1671c1c82f3a4411a68cb7b498682fa5 |         35 |                62.03
 51789fb57f204833b7ac9e4975fa8f1c |         34 |                62.68
 4ccaacf3d6024c79a3431bab2c21216c |         34 |                64.38
 d1511c8f944747a0b0bce4cce5a82062 |         34 |                85.12
 76579527413a43d3885550872fb9c6da |         34 |                94.85
 040c6fd1fcc341f780a37646086cd984 |         33 |                29.97
 105822d5747a4ec6be7ccf0f7bda0832 |         33 |                36.09
 0d0f7a42b8c84f199f62fc1a57eff69b |         33 |                54.67
 ff3d8c77260b490eac13a314e165dd8f |         33 |                60.58
 fcd16b8dafd04984a2504b42d674997b |         33 |                64.64
 c1fb0b18b1a147b988f5a6c6092b6fff |         33 |                65.00
 71d178798627421c93a0bf50deec3016 |         33 |                69.00
 4d11ea1b468d42c99c2af5b5892e118b |         33 |                71.30
 bf6a9fbc597149a29bac94dca168a6e2 |         33 |                77.30
 b5f8ed321ec34484806d8ab9667bc151 |         33 |                78.55
 fb428f957c264aac930cfe986c10a797 |         33 |               113.18
 807087d51af546f8a027e303beee6233 |         32 |                27.50
 002a7dc7f48244a2b0f5f9e6a123c0eb |         32 |                41.66
 aa58581d64d6459c876c2ec2689293ad |         32 |                43.09
 29967fb32a874b08ba35da7b9762e076 |         32 |                51.41
 9c7481ba66b14559b2c4cc59428a8725 |         32 |                54.56
 a75515f17be847e9b155db52c71c601e |         32 |                57.28
 239e3e59c2514b41812a4d23f1b0d4df |         32 |                60.00
 c20cce5207784ce19ae7763fee605547 |         32 |                61.72
 fa9dc348cd3c49879def4322d4012307 |         32 |                63.91
 f6fce96772f24aeba9f0836f11147cd5 |         32 |                68.53
 d2f895b4861242a68a5ccb413670f09f |         32 |                68.59
 785ee5a1c364446c820d74a1817549bb |         32 |                68.84
 fc728ad52396458fbcfdca7f4b782d41 |         32 |                71.16
 6e5c5e45f4d84be7a80cae0ee138aa07 |         32 |                74.34
 f40bf66359a7469499c4a12f5812014c |         32 |                85.13
 fce2f54bf28c4425b8c123c2e3fee070 |         32 |                85.25
 11a085eb4112493b9789b68d56f44a0c |         32 |                88.03
 b2ead03cdc844f9381f465b9a9773de5 |         32 |                88.72
 4e4d789ddbb844eb83819ba76ab77b01 |         32 |                95.16
 537f01b9dfc54aea9652b86d312830d1 |         32 |               101.97
 7a6eda899c0d444f84de001479f034f7 |         32 |               124.06
 481e660df51e4f678f12337889cd15d0 |         31 |                29.48
